provider,label_provider_fraud_1_0,claims_30d,claims_90d,claims_365d,reimb_30d,reimb_90d,reimb_365d,avg_reimb_day_30d,unique_benes_30d,unique_benes_90d,unique_benes_365d,dx_distinct_30d,px_distinct_30d,deductible_share_30d,ip_claims_365,ip_avg_z_reimb_365,ip_max_z_reimb_365,ip_avg_z_los_365,ip_max_z_los_365,op_claims_365,op_avg_z_reimb_365,op_max_z_reimb_365,claims_total,dup_exact_claims,dup_near_total,upcoding_ip_claims,upcoding_op_claims,overcharge_z_claims,overcharge_iqr_claims
PRV51001,0,25,25,25,104640.00,104640.00,104640.00,4549.5652173913043478,2,2,24,3,0,0.05103211009174311927,5,1.1642817856118841,4.049158630723177,-0.01364591582432161581,2.5023463134546201,19,0.5707860535295681,3.144895166133666,25,0,0,1,0,0,7
PRV51003,1,35,104,132,128690.00,407870.00,605670.00,4596.0714285714285714,11,29,117,52,2,0.12448519698500271971,61,-0.011434036175865546,4.511582124282347,-0.06429554469035752438,3.6666984727834586,70,0.000482780583469411,0.7423708203080935,132,0,0,1,1,2,20
PRV51007,0,30,72,72,18020.00,33710.00,33710.00,621.3793103448275862,6,14,58,19,0,0.06204217536071032186,3,-0.26395199865135255,0.3870649806890855,-0.33782797692968820203,-0.14606982776998060367,69,-0.1664978240904877,0.6687148540274283,72,0,0,0,1,1,5
PRV51008,0,30,43,43,30430.00,35630.00,35630.00,1014.3333333333333333,6,12,36,20,0,0.04101215905356556030,2,0.4931052224195089,1.5709881090134596,-0.18436170636006355958,0.19256372518995103746,40,0.019236180450035643,0.42312139704586116,43,0,0,0,0,0,5
PRV51011,0,31,58,58,12550.00,16630.00,16630.00,418.3333333333333333,6,13,53,11,0,0.10422310756972111554,1,-0.4960074179111397,-0.4960074179111397,-0.21656944555632729585,-0.21656944555632729585,52,-0.10299613743554577,0.5206170389146231,58,0,0,0,0,0,4
PRV51012,0,33,48,48,12330.00,16890.00,16890.00,440.3571428571428571,2,5,31,10,0,0.00811030008110300081,,,,,,48,0.23090622737079122,1.9292240736919544,48,0,0,0,0,0,7
PRV51013,0,34,46,46,10090.00,14880.00,14880.00,336.3333333333333333,6,12,44,13,0,0.01387512388503468781,,,,,,44,0.15111561132465276,1.1391774194843693,46,0,0,0,0,0,10
PRV51014,0,30,30,30,10480.00,10480.00,10480.00,388.1481481481481481,2,6,25,6,0,0.01145038167938931298,,,,,,30,0.3197850989351415,4.969405005772912,30,0,0,0,1,1,5
PRV51015,0,8,8,8,700.00,700.00,700.00,87.5000000000000000,1,1,7,1,0,0.00000000000000000000,,,,,,8,-0.33284251795918524,-0.2752086493894106,8,0,0,0,0,0,0
PRV51016,0,6,6,6,170.00,170.00,170.00,42.5000000000000000,1,4,6,2,0,0.00000000000000000000,,,,,,6,-0.4382369482540428,-0.2808802196378405,6,0,0,0,0,0,0
PRV51017,0,47,155,515,14880.00,50960.00,142720.00,496.0000000000000000,39,112,419,95,0,0.00806451612903225806,,,,,,506,-0.07748896246638393,0.14311777609439136,515,0,0,0,2,2,65
PRV51021,1,41,125,257,112900.00,169200.00,348830.00,3763.3333333333333333,24,54,207,78,6,0.05737821080602302923,28,0.017077626301625234,3.4702368481281547,-0.01912519418945029747,2.9829301918237054,223,0.08096070888427541,0.3922437135843588,257,2,2,0,4,4,40
PRV51023,0,31,36,36,60060.00,65610.00,65610.00,2071.0344827586206897,6,13,35,22,1,0.12580752580752580753,9,-0.36517358854512455,0.9164918918667878,-0.26036341257754970175,0.86244921301461645146,25,0.07783937579233632,1.040905670869008,36,0,0,0,0,0,6
PRV51024,0,31,39,39,42420.00,64050.00,64050.00,1414.0000000000000000,4,13,38,9,1,0.15318246110325318246,9,-0.4340209498884527,0.041666358707530556,-0.21368655422647007610,1.2233594796436111,30,-0.37254475451465746,-0.23100543690787206,39,0,0,0,0,0,0
PRV51025,0,35,87,87,55010.00,118350.00,118350.00,1964.6428571428571429,6,19,75,32,1,0.12194146518814760953,12,-0.39788421070925156,0.9287092034519996,0.32950472908575089990,4.2813221611949602,73,0.39069159599910974,1.840552129839593,87,0,0,0,1,1,14
PRV51026,0,32,76,76,7440.00,19840.00,19840.00,248.0000000000000000,8,12,56,15,0,0.00134408602150537634,,,,,,76,-0.11004695272854619,0.5438647551353909,76,0,0,0,2,2,5
PRV51027,0,31,53,53,14660.00,29840.00,29840.00,488.6666666666666667,4,10,44,8,0,0.000000000000000000000000,,,,,,52,0.09436595550034602,1.653659596768585,53,0,0,0,1,1,11
PRV51029,0,31,93,93,15340.00,30660.00,30660.00,568.1481481481481481,10,24,79,22,0,0.00586701434159061278,,,,,,93,0.09101183904769312,0.4963980603315767,93,0,0,0,0,0,13
PRV51030,0,34,107,171,111610.00,488950.00,739760.00,3720.3333333333333333,11,37,145,47,4,0.12618940955111549144,82,-0.08967692258885335,3.1600210674045006,-0.18601961513630915773,2.9100490380735661,86,0.11746183152661391,0.8420563075279724,171,0,0,0,0,1,18
PRV51031,0,32,110,185,140960.00,250180.00,359720.00,4860.6896551724137931,10,37,157,56,3,0.06132236095346197503,27,0.22946084634235114,3.3638300283719595,0.11261339906442254111,3.1771212905414550,151,-0.18599648385406004,0.18874676035997956,185,0,0,0,0,1,14
PRV51032,0,23,23,23,5420.00,5420.00,5420.00,235.6521739130434783,3,7,21,4,0,0.00922509225092250923,,,,,,22,0.15358368935833805,3.4382354431538267,23,0,0,0,0,0,1
PRV51035,0,30,30,30,32560.00,32560.00,32560.00,1205.9259259259259259,2,6,25,3,0,0.04385749385749385749,1,-1.8939112775170104,-1.8939112775170104,-0.78946891949565248464,-0.78946891949565248464,25,-0.2749409906022081,-0.2163847372545695,30,0,0,0,0,0,3
PRV51036,0,39,128,278,8850.00,43580.00,74880.00,295.0000000000000000,13,37,131,34,0,0.00000000000000000000,,,,,,275,0.10609972748223316,1.6054173520117465,278,0,0,0,1,1,35
PRV51037,1,42,154,454,15640.00,107720.00,342230.00,539.3103448275862069,24,72,206,56,0,0.07659846547314578005,21,-0.004444077994475641,1.8977381938911524,-0.20575350148091718370,1.8173643748004253,423,0.0025056343955576644,0.7317449576909735,454,0,0,0,1,1,62
PRV51038,0,38,110,141,47410.00,168390.00,265490.00,1580.3333333333333333,8,36,107,26,1,0.13684876608310483020,29,-0.18622146342106063,1.7841130763349946,-0.30640346218220640596,3.9765242760447405,107,0.05389706416511795,0.46520821888008496,141,0,0,0,1,1,16
PRV51040,0,35,86,86,36370.00,74470.00,74470.00,1212.3333333333333333,4,17,69,8,0,0.09359362111630464669,8,-0.7247135873849057,0.6026022830888688,0.23311766703056401446,3.2680036790538801,74,-0.2434762971883621,0.11087492327339742,86,0,0,0,0,0,4
PRV51041,0,30,34,34,6910.00,7410.00,7410.00,238.2758620689655172,3,9,31,4,0,0.02460202604920405210,,,,,,34,-0.30296517673598883,0.3621791088636809,34,0,0,0,0,0,3
PRV51042,0,36,105,142,12580.00,36390.00,48050.00,433.7931034482758621,13,30,128,26,0,0.00635930047694753577,,,,,,140,0.1870377548568613,1.3415231236260832,142,0,0,0,0,0,25
PRV51043,0,23,23,23,4480.00,4480.00,4480.00,213.3333333333333333,3,7,20,7,0,0.00000000000000000000,,,,,,23,-0.23630866212867863,0.1391873490598379,23,0,0,0,0,0,4
PRV51044,0,31,59,59,7980.00,21330.00,21330.00,266.0000000000000000,6,14,39,9,0,0.00000000000000000000,,,,,,56,0.2955260664829773,2.2111241085785456,59,0,0,0,0,0,10
PRV51045,0,31,31,31,8390.00,8390.00,8390.00,289.3103448275862069,3,6,29,8,0,0.00476758045292014303,,,,,,31,-0.16080084838323366,0.18545975191965516,31,0,0,0,0,0,3
PRV51046,0,33,38,38,101090.00,109370.00,109370.00,3369.6666666666666667,2,11,26,7,0,0.07494311999208625977,8,0.15165685038823076,1.860506754193675,-0.11751806299824397975,1.11609042537024139061,26,-0.12041854573742754,0.9240647862513458,38,0,0,0,0,0,6
PRV51047,0,11,11,11,2530.00,2530.00,2530.00,230.0000000000000000,1,2,11,2,0,0.00000000000000000000,,,,,,11,-0.18482195922890848,0.09121511416717037,11,0,0,0,0,0,1
PRV51048,0,33,38,38,20900.00,27700.00,27700.00,696.6666666666666667,4,12,33,6,0,0.15712918660287081340,4,-0.27971996845877534,-0.013491558263023753,-0.10129685975840765844,0.99612407182008726709,32,0.1998561186807836,3.9895441456335288,38,0,0,0,0,0,2
PRV51049,0,32,71,71,9000.00,21720.00,21720.00,321.4285714285714286,7,20,64,13,0,0.00555555555555555556,,,,,,69,-0.09172642324089245,0.41829944519049983,71,0,0,0,0,0,10
PRV51052,1,34,46,46,18860.00,30800.00,30800.00,673.5714285714285714,5,13,37,8,0,0.06352067868504772004,2,-0.34271393815367834,-0.2189545892728073,0.72486871956956055600,1.4444929505729325,44,0.16290970834305996,1.0722296073063717,46,0,0,0,0,0,7
PRV51053,0,1,1,1,8000.00,8000.00,8000.00,8000.0000000000000000,1,1,1,9,1,0.13350000000000000000,1,-0.19691242736604883,-0.19691242736604883,0.15931305410938242693,0.15931305410938242693,,,,1,0,0,0,0,0,0
PRV51054,0,33,57,57,7380.00,15130.00,15130.00,246.0000000000000000,7,15,40,15,0,0.01355013550135501355,,,,,,55,-0.10728244449958929,0.30764332311639553,57,0,0,0,0,0,8
PRV51055,0,22,22,22,21640.00,21640.00,21640.00,1030.4761904761904762,1,2,22,1,0,0.10194085027726432532,1,-0.9849837182794429,-0.9849837182794429,-0.29973305121948359564,-0.29973305121948359564,20,-0.16829982193311777,0.28185695709331104,22,0,0,0,0,0,3
PRV51056,0,22,22,22,14700.00,14700.00,14700.00,773.6842105263157895,3,6,21,17,2,0.14598639455782312925,2,-0.5605160581378104,-0.4894093302578426,-0.47296747538269836482,-0.10380162940701397957,20,-0.10039465798773523,0.4667309867555592,22,0,0,0,0,0,3
