claim_type,cluster,n_in_cluster,antecedents_str,consequents_str,support,confidence,lift,antecedent_cov
IP,2,591,9672,518,0.05245346869712352,0.8157894736842106,2.957862447529868,31
IP,3,447,8151,715,0.06711409395973154,0.8333333333333334,3.2112068965517246,30
IP,3,447,8154,715,0.13870246085011187,0.8157894736842105,3.143602540834846,62
IP,7,421,8154,715,0.09263657957244656,0.7959183673469388,4.03712810425375,39
IP,9,818,2724+66,414,0.037897310513447434,0.8611111111111112,2.332413539367182,31
IP,9,818,272+401+66,414,0.04156479217603912,0.8292682926829268,2.2461637861411727,34
IP,9,818,401+66,414,0.0647921760391198,0.8281249999999999,2.243067052980132,53
IP,9,818,250+66,414,0.04523227383863081,0.8043478260869565,2.178663979268644,37
IP,9,818,272+66,414,0.0647921760391198,0.803030303030303,2.1750953241019464,53
IP,9,818,3722,414,0.05134474327628362,0.7924528301886793,2.14644508309384,42
IP,9,818,66,414,0.11246943765281174,0.7863247863247864,2.1298466066677992,92
IP,9,818,4019+66,414,0.04767726161369193,0.7647058823529411,2.0712894429294897,39
IP,9,818,411,272,0.04645476772616137,0.6785714285714286,2.048234053769109,38
IP,9,818,401+414+66,272,0.04156479217603912,0.6415094339622642,1.9363642693030707,34
IP,9,818,401+66,272,0.05012224938875306,0.640625,1.9336946494464944,41
IP,9,818,411,414,0.04767726161369193,0.6964285714285714,1.886352885525071,39
IP,9,818,272+414+66,401,0.04156479217603912,0.6415094339622642,1.5617699910152743,34
IP,9,818,4019+715,401,0.03667481662591687,0.625,1.521577380952381,30
IP,9,818,272+66,401,0.05012224938875306,0.6212121212121212,1.5123556998557,41
IP,9,818,4019+V45,401,0.04645476772616137,0.6031746031746033,1.4684429327286472,38
IP,10,422,8154,715,0.09004739336492891,0.7916666666666667,3.307755775577558,38
IP,11,570,8154,715,0.06491228070175438,0.7872340425531914,4.442805982725932,37
IP,13,633,7935,820,0.05055292259083728,0.8648648648648648,7.398100803506208,32
IP,14,4107,8154,715,0.030679327976625273,0.8630136986301369,7.415057029861867,126
IP,14,4107,3722,414,0.020452885317750184,0.6614173228346457,2.5458678021386034,84
IP,14,4107,8154,401,0.022887752617482347,0.6438356164383561,1.6682857266323838,94
IP,15,579,272+V45,401,0.055267702936096716,0.6808510638297871,1.2675651638503111,32
IP,18,1573,995,038,0.031150667514303877,0.6447368421052632,8.896237303785782,49
