cluster,n,total_paid,median_paid,dx_count,px_count,dup_exact_flag,dup_near_count,overcharge_z_flag,overcharge_iqr_flag,los_days,z_ip_reimb,z_ip_los
14,4107,37052400.0,8000.0,9.0,1.0,0.0,0.0,0.0,0.0,4.0,-0.19248038225974673,-0.15933571551844342
18,1573,12480000.0,7000.0,9.0,0.0,0.0,0.0,0.0,0.0,4.0,-0.1974363211570132,-0.3478145463120274
4,941,5152200.0,4000.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,-0.5133155945703078,-0.5833318295890226
9,818,8574800.0,10000.0,9.0,2.0,0.0,0.0,0.0,0.0,4.0,-0.03352043126759472,-0.2070287885194892
12,654,3546000.0,5000.0,8.0,0.0,0.0,0.0,0.0,0.0,3.0,-0.5020326043160659,-0.5091159728019947
13,633,5887000.0,9000.0,10.0,1.0,0.0,0.0,0.0,0.0,5.0,-0.16827538450655213,-0.10215701897641905
16,625,2500000.0,4000.0,9.0,0.0,0.0,0.0,0.0,0.0,3.0,-0.5924013835795758,-0.42801605117398084
1,595,1190200.0,2000.0,9.0,0.0,0.0,0.0,0.0,0.0,2.0,-0.822866572662936,-0.5581299373048291
2,591,21546000.0,32000.0,9.0,1.0,0.0,0.0,0.0,1.0,6.0,2.5859803224771487,0.16798421022632323
0,580,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,3.0,-1.1000896135358162,-0.3343035811646269
15,579,1737350.0,3000.0,9.0,0.0,0.0,0.0,0.0,0.0,3.0,-0.7262665234573272,-0.4693298820060863
11,570,4584700.0,7000.0,8.0,1.0,0.0,0.0,0.0,0.0,3.0,-0.2867235174125071,-0.4314082941107702
17,534,2670000.0,5000.0,9.0,0.0,0.0,0.0,0.0,0.0,3.0,-0.47691618075030995,-0.3906425673173298
8,514,3103000.0,6000.0,10.0,0.0,0.0,0.0,0.0,0.0,3.0,-0.4275020248361461,-0.39276881626815263
5,474,2394000.0,5000.0,7.0,0.0,0.0,0.0,0.0,0.0,3.0,-0.521851391032812,-0.549554250019403
3,447,3956000.0,9000.0,4.0,1.0,0.0,0.0,0.0,0.0,2.0,-0.17893198036685626,-0.6223456607131547
10,422,3377000.0,8000.0,7.0,1.0,0.0,0.0,0.0,0.0,3.0,-0.26945699873262996,-0.4893162063353007
7,421,3605000.0,8000.0,6.0,1.0,0.0,0.0,0.0,0.0,3.0,-0.19691242736604883,-0.5128035010014308
6,417,2061000.0,4000.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,-0.5311899125770863,-0.5069959594449626
