cluster,n,total_paid,median_paid,dx_count,px_count,dup_exact_flag,dup_near_count,overcharge_z_flag,overcharge_iqr_flag,z_op_reimb
1,2500,4317280.0,1300.0,4.0,0.0,0.0,0.0,0.0,1.0,1.8451888475425995
5,1050,179190.0,90.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.3308546978871573
7,883,146920.0,90.0,2.0,0.0,0.0,0.0,0.0,0.0,-0.3273104587976909
8,691,115510.0,90.0,3.0,0.0,0.0,0.0,0.0,0.0,-0.3273104587976909
4,522,83190.0,90.0,4.0,0.0,0.0,0.0,0.0,0.0,-0.316590181159591
6,367,68190.0,90.0,5.0,0.0,0.0,0.0,0.0,0.0,-0.3090220892512142
10,268,49090.0,100.0,6.0,0.0,0.0,0.0,0.0,0.0,-0.3040953392177657
3,248,50980.0,100.0,9.0,0.0,0.0,0.0,0.0,0.0,-0.3099324913039675
9,218,39720.0,90.0,7.0,0.0,0.0,0.0,0.0,0.0,-0.3496719237438913
0,188,596960.0,2500.0,4.0,0.0,0.0,0.0,1.0,1.0,3.0000000000000004
2,168,30950.0,80.0,8.0,0.0,0.0,0.0,0.0,0.0,-0.3597285266881577
