cluster,reimb_amt_log,deductible_share,dx_count,px_count,z_op_reimb,dup_exact_flag,dup_near_count,overcharge_z_flag,overcharge_iqr_flag,reimb_amt,deductible_paid,n
3,7.00397413672268,0.0,2.0,0.0,1.5498734776197727,0.0,0.0,0.0,1.0,1100.0,0.0,22004
22,4.110873864173311,0.0,3.0,0.0,-0.36516983397699476,0.0,0.0,0.0,0.0,60.0,0.0,14327
14,4.2626798770413155,0.0,4.0,0.0,-0.3505255783776161,0.0,0.0,0.0,0.0,70.0,0.0,12555
6,4.2626798770413155,0.0,5.0,0.0,-0.36516983397699476,0.0,0.0,0.0,0.0,70.0,0.0,6525
52,4.51085950651685,0.0,1.0,0.0,-0.25766510005791526,0.0,0.0,0.0,0.0,90.0,0.0,3739
23,5.303304908059076,0.0,2.0,0.0,-0.025513904258663185,0.0,0.0,0.0,0.0,200.0,0.0,3641
5,4.394449154672439,0.0,6.0,0.0,-0.3505255783776161,0.0,0.0,0.0,0.0,80.0,0.0,3484
43,4.51085950651685,0.0,1.0,0.0,-0.465059128432871,0.0,0.0,0.0,0.0,90.0,0.0,3421
4,4.110873864173311,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,60.0,0.0,3344
36,3.4339872044851463,0.0,1.0,0.0,-0.41156510262097235,0.0,0.0,0.0,0.0,30.0,0.0,3276
30,4.2626798770413155,0.0,2.0,0.0,-0.465059128432871,0.0,0.0,0.0,0.0,70.0,0.0,3274
39,3.713572066704308,0.0,1.0,0.0,-0.39621303493278476,0.0,0.0,0.0,0.0,40.0,0.0,2936
41,4.61512051684126,0.0,1.0,0.0,-0.36516983397699476,0.0,0.0,0.0,0.0,100.0,0.0,2839
7,4.2626798770413155,0.0,9.0,0.0,-0.36516983397699476,0.0,0.0,0.0,0.0,70.0,0.0,2514
26,3.044522437723423,0.0,1.0,0.0,-0.4269171703091599,0.0,0.0,0.0,0.0,20.0,0.0,2388
44,4.110873864173311,0.0,1.0,0.0,-0.4565158064495889,0.0,0.0,0.0,0.0,60.0,0.0,2211
10,2.3978952727983707,0.0,3.0,0.0,-0.44226923799734746,0.0,0.0,0.0,0.0,10.0,0.0,2147
21,5.303304908059076,0.0,3.0,0.0,-0.025513904258663185,0.0,0.0,0.0,0.0,200.0,0.0,2146
47,5.303304908059076,0.0,1.0,0.0,-0.13680490279550933,0.0,0.0,0.0,0.0,200.0,0.0,2048
12,2.3978952727983707,0.0,2.0,0.0,-0.44226923799734746,0.0,0.0,0.0,0.0,10.0,0.0,1933
