fraud_type,cluster,n,dup_share,short_ip_share,op_highpay_share,zero_paid_share,dx_med,px_med
mixed,37,6823,0.0,0.0,0.0,0.0,1.0,0.0
mixed,14,6218,0.0,0.0,0.0,0.0,1.0,0.0
mixed,78,5608,0.0,0.0,0.0,0.0,9.0,1.0
mixed,33,5266,0.0,0.0,0.0,0.0,1.0,0.0
mixed,21,5053,0.0,0.0,0.0,0.0,1.0,0.0
mixed,28,5021,0.0,0.0,0.0,0.0,1.0,0.0
mixed,52,5001,0.0,0.0,0.0,0.0,1.0,0.0
mixed,29,4606,0.0,0.0,0.0,0.0,2.0,0.0
mixed,31,4245,0.0,0.0,0.0,0.0,1.0,0.0
mixed,13,4047,0.0,0.0,0.0,0.0,2.0,0.0
mixed,15,3829,0.0,0.0,0.0,0.0,1.0,0.0
mixed,35,3706,0.0,0.0,0.0,0.0,1.0,0.0
mixed,12,3638,0.0,0.0,0.0,0.0,0.0,0.0
mixed,46,3636,0.0,0.0,0.0,0.0,2.0,0.0
mixed,25,3517,0.0,0.0,0.0,0.0,2.0,0.0
mixed,34,3406,0.0,0.0,0.0,0.0,1.0,0.0
mixed,44,2980,0.0,0.0,0.0,0.0,3.0,0.0
mixed,38,2951,0.0,0.0,0.0,0.0,1.0,0.0
mixed,0,2950,0.0,0.0,0.0,0.0,9.0,2.0
mixed,19,2871,0.0,0.0,0.0,0.0,2.0,0.0
mixed,64,2808,0.0,0.0,0.0,0.0,1.0,0.0
mixed,23,2714,0.0,0.0,0.0,0.0,2.0,0.0
mixed,22,2713,0.0,0.0,0.0,0.0,2.0,0.0
mixed,84,2540,0.0,0.0,0.0,0.0,6.0,0.0
mixed,16,2466,0.0,0.0,0.0,0.0,2.0,0.0
mixed,40,2397,0.0,0.0,0.0,0.0,3.0,0.0
mixed,98,2343,0.0,0.0,0.0,0.0,9.0,0.0
mixed,49,2321,0.0,0.0,0.0,0.0,3.0,0.0
mixed,17,2248,0.0,0.0,0.0,0.0,3.0,0.0
mixed,69,2191,0.0,0.0,0.0,0.0,1.0,0.0
mixed,27,2122,0.0,0.0,0.0,0.0,2.0,0.0
mixed,26,2096,0.0,0.0,0.0,0.0,2.0,0.0
mixed,83,2087,0.0,0.0,0.0,0.0,5.0,0.0
mixed,63,2028,0.0,0.0,0.0,0.0,2.0,0.0
mixed,103,2022,0.0,0.0,0.0,0.0,9.0,0.0
mixed,97,1957,0.0,0.0,0.0,0.0,9.0,0.0
mixed,60,1937,0.0,0.0,0.0,0.0,4.0,0.0
mixed,85,1937,0.0,0.0,0.0,0.0,6.0,0.0
mixed,36,1778,0.0,0.0,0.0,0.0,3.0,0.0
mixed,32,1773,0.0,0.0,0.0,0.0,3.0,0.0
mixed,71,1758,0.0,0.0,0.0,0.0,2.0,0.0
mixed,30,1742,0.0,0.0,0.0,0.0,2.0,0.0
mixed,90,1738,0.0,0.0,0.0,0.0,1.0,0.0
mixed,61,1704,0.0,0.0,0.0,0.0,7.0,0.0
mixed,39,1698,0.0,0.0,0.0,0.0,3.0,0.0
mixed,65,1650,0.0,0.0,0.0,0.0,2.0,0.0
mixed,54,1527,0.0,0.0,0.0,0.0,4.0,0.0
mixed,73,1481,0.0,0.0,0.0,0.0,4.0,0.0
mixed,24,1477,0.0,0.0,0.0,0.0,3.0,0.0
mixed,96,1477,0.0,0.0,0.0,0.0,5.0,0.0
mixed,74,1439,0.0,0.0,0.0,0.0,5.0,1.0
mixed,67,1349,0.0,0.0,0.0,0.0,7.0,0.0
mixed,47,1332,0.0,0.0,0.0,0.0,8.0,0.0
mixed,95,1331,0.0,0.0,0.0,0.0,5.0,0.0
mixed,42,1330,0.0,0.0,0.0,0.0,3.0,0.0
mixed,41,1298,0.0,0.0,0.0,0.0,3.0,0.0
mixed,62,1271,0.0,0.0,0.0,0.0,3.0,0.0
mixed,91,1255,0.0,0.0,0.0,0.0,1.0,0.0
mixed,81,1159,0.0,0.0,0.0,0.0,3.0,0.0
mixed,43,1129,0.0,0.0,0.0,0.0,3.0,0.0
mixed,80,1106,0.0,0.0,0.0,0.0,3.0,0.0
