iter	PRAUC	Logloss
0	0.8949987964	0.6479121268
1	0.9247798389	0.6075570582
2	0.9323677406	0.5741362643
3	0.9376607955	0.5399125255
4	0.9372091427	0.5114696279
5	0.9392737331	0.488181688
6	0.9391211312	0.4702639616
7	0.939574582	0.45118437
8	0.9416088683	0.4328965407
9	0.9420800192	0.4212755303
10	0.9431436325	0.4083808106
11	0.9439641334	0.3974512266
12	0.9437278261	0.3887849803
13	0.9436886911	0.3807639351
14	0.9443806367	0.3708637788
15	0.9447322029	0.3633759703
16	0.9450963746	0.3553193211
17	0.9455474662	0.3502815004
18	0.9455616871	0.3448244331
19	0.9459204855	0.3399552998
20	0.9462275892	0.3347816942
21	0.9463491225	0.3304820147
22	0.9465971291	0.3265284207
23	0.947016491	0.3237632844
24	0.9472714977	0.3198522761
25	0.9476517783	0.3162032148
26	0.9478809744	0.3131490395
27	0.9480166024	0.3105224815
28	0.9483340319	0.3085715193
29	0.9487157761	0.3056188173
30	0.9490186235	0.3036968861
31	0.9494204273	0.300672658
32	0.9500498945	0.2976922361
33	0.950337323	0.2958508051
34	0.9505943099	0.2939870965
35	0.950946237	0.2920356144
36	0.9515598868	0.2905774216
37	0.9519513793	0.2880587176
38	0.9521201482	0.2868410136
39	0.9526519794	0.285398907
40	0.9528676145	0.2839261713
41	0.9534350165	0.2814122959
42	0.9537891664	0.2796815397
43	0.9539895931	0.2784620561
44	0.9541574949	0.2776612207
45	0.9544731751	0.2767326172
46	0.9545775665	0.2761024995
47	0.9547320214	0.2749265158
48	0.954936941	0.2738868964
49	0.9554807581	0.2724668573
50	0.9559568309	0.2711484034
51	0.9560187556	0.2704432146
52	0.9561248911	0.2701576649
53	0.9565918761	0.268274728
54	0.9568592139	0.267247489
55	0.9571125404	0.2663471208
56	0.9572480879	0.2658104247
57	0.9575648713	0.2650167913
58	0.9576843256	0.2646063398
59	0.9577993564	0.2638460479
60	0.9579264945	0.2631120366
61	0.9581722806	0.2621899867
62	0.9583710185	0.2614688824
63	0.9586415295	0.260375152
64	0.9587734863	0.2598046192
65	0.9590501204	0.2591496811
66	0.9591403363	0.2583700773
67	0.9595138502	0.2575876448
68	0.9598313299	0.2561580502
69	0.9598858387	0.2558609603
70	0.9602616556	0.2551631642
71	0.9603951447	0.2540624505
72	0.9605271177	0.2535205554
73	0.9606010719	0.2532226049
74	0.9607232117	0.2526399766
75	0.9609965249	0.2519167064
76	0.9613778046	0.2506873127
77	0.9615862545	0.2502437344
78	0.9617746618	0.2495553321
79	0.9618948596	0.249039861
80	0.9621185526	0.2484742648
81	0.9622832865	0.2479361074
82	0.9626041229	0.2465558653
83	0.9628035155	0.2456368496
84	0.9631154842	0.2447575225
85	0.9631581926	0.2443403474
86	0.9632442917	0.2437098471
87	0.9634427214	0.2429731153
88	0.9635293143	0.2423589806
89	0.9637239815	0.2415566548
90	0.9639229465	0.2408902041
91	0.9642559816	0.2398763389
92	0.9644495206	0.2393154123
93	0.9646976069	0.2385008184
94	0.9648626686	0.237933159
95	0.9650688364	0.2374535958
96	0.9651026361	0.2372748981
97	0.9651371838	0.2370008282
98	0.965390237	0.2363440716
99	0.9657224287	0.2354011181
100	0.9660900506	0.2347257049
101	0.9662955655	0.234241597
102	0.966679548	0.2332339589
103	0.9669715804	0.2319651353
104	0.9671236277	0.2314333287
105	0.9673132192	0.2309814029
106	0.9674039558	0.2307741762
107	0.9676314426	0.2296388619
