iter	Passed	Remaining
0	7	22332
1	14	22093
2	21	21762
3	29	22142
4	37	22523
5	44	22427
6	52	22238
7	58	21874
8	65	21903
9	73	21839
10	80	21755
11	87	21710
12	96	22064
13	104	22241
14	112	22410
15	120	22395
16	127	22391
17	134	22295
18	143	22526
19	152	22752
20	160	22718
21	166	22599
22	175	22734
23	182	22618
24	192	22848
25	200	22936
26	207	22898
27	219	23308
28	229	23466
29	236	23402
30	244	23423
31	253	23480
32	262	23558
33	270	23592
34	279	23638
35	287	23708
36	294	23577
37	302	23582
38	311	23659
39	318	23585
40	324	23451
41	332	23433
42	340	23441
43	349	23489
44	358	23515
45	365	23486
46	374	23537
47	382	23547
48	391	23573
49	400	23607
50	408	23598
51	415	23544
52	422	23515
53	430	23481
54	435	23342
55	443	23321
56	449	23225
57	458	23255
58	466	23259
59	472	23166
60	478	23055
61	486	23075
62	492	22980
63	500	22953
64	506	22868
65	512	22799
66	535	23436
67	542	23395
68	550	23368
69	556	23297
70	564	23280
71	572	23283
72	581	23300
73	587	23220
74	593	23141
75	601	23139
76	609	23132
77	615	23067
78	621	22985
79	628	22952
80	641	23117
81	646	23020
82	654	22988
83	661	22970
84	669	22943
85	676	22918
86	683	22882
87	690	22855
88	700	22903
89	708	22922
90	717	22932
91	724	22911
92	732	22906
93	739	22853
94	746	22837
95	754	22817
96	760	22767
97	767	22717
98	774	22700
99	796	23099
100	802	23046
101	812	23079
102	821	23112
103	828	23071
104	836	23058
105	843	23015
106	849	22972
107	856	22926
108	863	22901
109	870	22857
110	876	22799
111	882	22745
112	889	22721
113	895	22675
114	902	22640
115	910	22635
116	916	22589
117	921	22511
118	927	22458
119	934	22422
120	941	22399
121	947	22354
122	955	22350
123	961	22301
124	969	22298
125	978	22308
126	986	22316
127	994	22311
128	1001	22287
129	1007	22234
130	1012	22185
131	1020	22166
132	1042	22469
133	1058	22635
134	1063	22570
135	1070	22546
136	1078	22533
137	1085	22518
138	1092	22477
139	1098	22440
140	1105	22414
141	1114	22422
142	1120	22389
143	1126	22333
144	1133	22317
145	1142	22327
146	1148	22297
147	1155	22261
148	1161	22216
149	1168	22194
150	1175	22182
151	1182	22157
152	1189	22128
153	1196	22104
154	1202	22071
155	1208	22023
156	1215	22003
157	1223	21999
158	1231	22003
159	1240	22014
160	1246	21980
161	1252	21944
162	1260	21931
163	1266	21907
164	1273	21883
165	1278	21832
166	1285	21799
167	1291	21774
168	1298	21750
169	1305	21730
170	1312	21710
171	1319	21694
172	1325	21657
173	1331	21630
174	1338	21601
175	1343	21561
176	1350	21536
177	1357	21514
178	1363	21488
179	1369	21448
180	1375	21421
181	1382	21411
182	1390	21397
183	1397	21393
184	1404	21364
185	1411	21349
186	1418	21340
187	1424	21310
188	1430	21272
189	1437	21261
190	1445	21254
191	1453	21258
192	1461	21254
193	1467	21229
194	1474	21207
195	1479	21164
196	1486	21152
197	1493	21137
198	1499	21110
199	1507	21099
200	1513	21072
201	1519	21044
202	1525	21020
203	1533	21012
204	1538	20982
205	1546	20976
206	1554	20968
207	1561	20957
208	1567	20932
209	1574	20924
210	1582	20911
211	1588	20886
212	1595	20876
213	1603	20872
214	1610	20859
215	1616	20840
216	1624	20837
217	1633	20841
218	1641	20843
219	1648	20832
220	1656	20830
221	1663	20821
222	1670	20803
223	1678	20800
224	1685	20784
225	1692	20768
226	1698	20744
227	1705	20729
228	1711	20710
229	1717	20684
230	1723	20654
231	1728	20627
232	1734	20595
233	1740	20577
234	1747	20557
235	1754	20543
236	1760	20529
237	1767	20511
238	1774	20499
239	1781	20488
240	1788	20474
241	1795	20462
242	1801	20436
243	1808	20429
244	1814	20408
245	1820	20381
246	1841	20521
247	1848	20507
248	1856	20507
249	1863	20502
250	1869	20477
251	1875	20455
252	1882	20443
253	1889	20431
254	1897	20424
255	1904	20413
256	1912	20411
257	1932	20538
258	1939	20530
259	1949	20539
260	1955	20524
261	1962	20510
262	1968	20490
263	1977	20497
264	1983	20471
265	1992	20476
266	1999	20463
